Voltage,Value,Max RMS Current,Max Peak Current,Remarks
3.6V,0,100 mA,200 mA,Default current consumption for high voltage Devices
3.6V,1,120 mA,220 mA,
3.6V,2,150 mA,250 mA,
3.6V,3,180 mA,280 mA,
3.6V,4,200 mA,300 mA,
3.6V,5,220 mA,320 mA,
3.6V,6,250 mA,350 mA,
3.6V,7,300 mA,400 mA,
3.6V,8,350 mA,450 mA,
3.6V,9,400 mA,500 mA,
3.6V,10,450 mA,550 mA,
3.6V,11,500mA,600mA,
3.6V,12,600mA,700mA,
3.6V,13,700mA,800mA,
3.6V,14,800mA,900mA,
3.6V,15,>800mA,>900mA,
1.95V,0,65 mA,130 mA,Default current consumption for Dual voltage Devices
1.95V,1,70 mA,140 mA,
1.95V,2,80 mA,160 mA,
1.95V,3,90 mA,180 mA,
1.95V,4,100 mA,200 mA,
1.95V,5,120 mA,220 mA,
1.95V,6,140 mA,240 mA,
1.95V,7,160 mA,260 mA,
1.95V,8,180 mA,280 mA,
1.95V,9,200 mA,300 mA,
1.95V,10,250 mA,350 mA,
1.95V,11,300mA,400mA,
1.95V,12,350mA,450mA,
1.95V,13,400mA,500mA,
1.95V,14,500mA,600mA,
1.95V,15,>500mA,>600mA,
