Parameter,Symbol,Min,Max.,Unit,Remark(1)
Clock CLK(2),,,,, 
"Clock frequency Data Transfer Mode (PP)(3)",fPP,0,26,MHz,CL ≤ 30 pF
Clock frequency Identification Mode (OD),fOD,0,400,kHz,
Clock high time,tWH,10,,,CL ≤ 30 pF
Clock low time,tWL,10,,ns,CL ≤ 30 pF
Clock rise time(4),tTLH,,10,ns,CL ≤ 30 pF
Clock fall time,tTHL,,10,ns,CL ≤ 30 pF
"Inputs CMD, DAT (referenced to CLK)",,,,, 
Input set-up time,tISU,3,,ns,CL ≤ 30 pF
Input hold time,tIH,3,,ns,CL ≤ 30 pF
"Outputs CMD, DAT (referenced to CLK)",,,,, 
Output set-up time(5),tOSU,11.7,,ns,CL ≤ 30 pF
Output hold time(5),tOH,8.3,,ns,CL ≤ 30 pF
