MDT y Field [11:8],Year
0000,"1997, or 2013 if EXT_CSD_REV [192] > 4"
0001,"1998, or 2014 if EXT_CSD_REV [192] > 4"
0010,"1999, or 2015 if EXT_CSD_REV [192] > 4"
0011,"2000, or 2016 if EXT_CSD_REV [192] > 4"
0100,"2001, or 2017 if EXT_CSD_REV [192] > 4"
0101,"2002, or 2018 if EXT_CSD_REV [192] > 4"
0110,"2003, or 2019 if EXT_CSD_REV [192] > 4"
0111,"2004, or 2020 if EXT_CSD_REV [192] > 4"
1000,"2005, or 2021 if EXT_CSD_REV [192] > 4"
1001,"2006, or 2022 if EXT_CSD_REV [192] > 4"
1010,"2007, or 2023 if EXT_CSD_REV [192] > 4"
1011,"2008, or 2024 if EXT_CSD_REV [192] > 4"
1100,"2009, or 2025 if EXT_CSD_REV [192] > 4"
1101,2010 only
1110,2011 only
1111,2012 only
