CSD Field,Command Classes 0,Command Classes 1,Command Classes 2,Command Classes 3,Command Classes 4,Command Classes 5,Command Classes 6,Command Classes 7,Command Classes 8,Command Classes 9,Command Classes 10
CSD_STRUCTURE,+,+,+,+,+,+,+,+,+,+,+
SPEC_VERS,+,+,+,+,+,+,+,+,+,+,+
TAAC,,+,+,+,+,+,+,+,+,,+
NSAC,,+,+,+,+,+,+,+,+,,+
TRAN_SPEED,,+,+,+,+,,,,,+
CCC,+,+,+,+,+,+,+,+,+,+,+
READ_BL_LEN,,,+,,,,,,,,+
READ_BL_PARTIAL,,,+,,,,,,,,+
WRITE_BLK_MISALIGN,,,,+,,,,,,,+
READ_BLK_MISALIGN,,,+,,,,,,,,+
DSR_IMP,+,+,+,+,+,+,+,+,+,+,+
C_SIZE_MANT,,,+,+,+,+,+,+,+,,+
C_SIZE_EXP,,,+,+,+,+,+,+,+,,+
VDD_R_CURR_MIN,,,+,+,,,,,,,+
VDD_R_CURR_MAX++,,,+,+,,,,,,,+
VDD_W_CURR_MIN,,,,+,+,+,+,+,+,,+
VDD_W_CURR_MAX,,,,+,+,+,+,+,+,,+
ERASE_GRP_SIZE,,,,,+,+,+,+,+,,
WP_GRP_SIZE,,,,,,+,+,+,+,,
WP_GRP_ENABLE,,,,,,+,+,+,+,,
DEFAULT_ECC,,,+,+,+,+,+,+,+,,,+
R2W_FACTOR,,,,+,+,+,+,+,+,,
WRITE_BL_LEN,,,,+,+,+,+,+,+,,,+
WRITE_BL_PARTIAL,,,,+,+,+,+,+,+,,,+
FILE_FORMAT_GRP,,,,,,,,,,,
COPY,+,+,+,+,+,+,+,+,+,+,+
PERM_WRITE_PROTECT,+,+,+,+,+,+,+,+,+,+,+
TMP_WRITE_PROTECT,+,+,+,+,+,+,+,+,+,+,+
FILE_FORMAT,,,,,,,,,,,
ECC,,,+,+,+,+,+,+,+,,,+
CRC,+,+,+,+,+,+,+,+,+,+,+
