Name,Field,Size (Bytes),Cell Type,CSD-slice
Partition configuration,PARTITION_CONFIG,1,"R/W/E & R/W/E_P",[179]
Boot config protection,BOOT_CONFIG_PROT,1,"R/W & R/W/C_P",[178]
Boot bus Conditions,BOOT_BUS_CONDITIONS,1,R/W/E,[177]
Reserved,,,TBD,[176]
High-density erase group definition,ERASE_GROUP_DEF,1,R/W/E_P,[175]
Boot write protection status registers,BOOT_WP_STATUS,1,R,[174]
Boot area write protection register,BOOT_WP,1,"R/W & R/W/C_P",[173]
Reserved,,,TBD,[172]
User area write protection register,USER_WP,1,"R/W, R/W/C_P & R/W/E_P",[171]
Reserved,,,TBD,[170]
FW configuration,FW_CONFIG,1,R/W,[169]
RPMB Size,RPMB_SIZE_MULT,1,R,[168]
Write reliability setting register,WR_REL_SET,1,R/W,[167]
Write reliability parameter register,WR_REL_PARAM,1,R,[166]
Start Sanitize operation,SANITIZE_START,1,W/E_P,[165]
Manually start background operations,BKOPS_START,1,W/L_P,[164]
Enable background operations,BKOPS_EN,1,R/W,[163]
H/W reset function,RST_n_FUNCTION,1,R/W,[162]
HPI management,HPI_MGMT,1,R/W/E_P,[161]
Partitioning Support,PARTITIONING_SUPPORT,1,R,[160]
Max Enhanced Area Size,MAX_ENH_SIZE_MULT,3,R,[159:157]
Partitions attribute,PARTITIONS_ATTRIBUTE,1,R/W,[156]
Partitioning Setting,PARTITION_SETTING_COMPLETED,1,R/W,[155]
General Purpose Partition Size,GP_SIZE_MULT,12,R/W,[154:143]
Enhanced User Data Area Size,ENH_SIZE_MULT,3,R/W,[142:140]
Enhanced User Data Start Address,ENH_START_ADDR,4,R/W,[139:136]
Reserved,,,TBD,[135]
Bad Block Management mode,SEC_BAD_BLK_MGMNT,1,R/W,[134]
Reserved,,,TBD,[133]
