Bit,Access,Field Name,Description
31-16,RO,Buffer Read Pointer,"This field indicates the location in buffer memory for reading data. The value of this field is equal to the total number of successfully read data blocks, not the current read access point. The value of this field is not exact in Stop At Block Gap. Changing the value of this field by a suspend transaction does not affect transfer. To cancel a data transfer, a Stop At Block Gap or an Abort command must be used. When a suspend transaction occurs during a read transfer, the value of this field points to the next block, but the read data exists in the host side. The Host Driver shall store this data for the next read transfer. When the Host Driver detects a Card Removal, the value of this field is not guaranteed."
15-00,RO,Buffer Write Pointer,"This field is used for a host system equipped with a DMA and indicates the position of the buffer for writing data. The value of this field is equal to the total number of successfully written data blocks, not the current write access point. When a transaction suspend occurs during a write transfer, the value of this field does not indicate the exact position of the write buffer pointer. When the Host Driver detects a Card Removal, the value of this field is not guaranteed."
11,RO,Command Inhibit (DAT),"This status bit is generated if either the DAT Line Active or the Read Transfer Active is set to 1. If this bit is 0, it indicates the SD Bus Controller can issue the next SD Command. Commands with busy signal belong to Command Inhibit (DAT) (ex. R1b, R5b type). Except in the case when the command busy is finished, changing the state of the DAT line (Read Transfer Active, DAT Line Active) does not change Command Inhibit (DAT)."
10,RO,Command Inhibit (CMD),"If this bit is 0, it indicates the CMD line is not in use and the SD Bus Controller can issue a SD command using the CMD line. This bit is set immediately after the Command register (00Fh) is written. This bit is cleared when the command response is received. Even if the Command Inhibit (CMD) bit is set to 1, Commands using only the DAT line can be issued if the Command Inhibit (DAT) is set to 0. Changing the state of the DAT line (Read Transfer Active, Write Transfer Active, DAT Line Active) does not affect this bit. If the SD Bus Controller cannot issue a command because of a command conflict error (Refer to Command CRC Error) or because of a Command Not Issued By Auto CMD12 Error, this bit shall remain 1 and the command sequence shall be automatically aborted. The Host Driver shall restart the command sequence."
09,RO,DAT Line Active,"This status indicates whether one of the DAT line on SD Bus is in use. In the case of read transactions: This status indicates whether a read transfer is executing on the SD Bus. Changes in this value from 1 to 0 occur when the end bit of the last data block is sent from the card (not received by the Host Controller). Changes in this value from 0 to 1 occur when the start bit of the first data block is received by the Host Controller. In the case of write transactions: This status indicates whether a write transfer is executing on the SD Bus. Changes in this value from 1 to 0 occur when the CRC status is received for the last data block. Changes in this value from 0 to 1 occur when writing the Transfer Mode register for a write command. This status is also useful to know busy signal output on the DAT[0] line. Busy signal is output from the card under the following conditions: (1) After the end bit of Command With Busy response. (2) During a programming state that is indicated in the Response With Busy. (3) When the Host Controller does not receive CRC status that indicates a positive CRC (010) or a negative CRC (101). In each case, the DAT Line Active changes to 1. It is necessary to support commands with busy signal prior to issuing a command with busy signal. It is also necessary to wait for this field to change from 1 to 0 before issuing the next command."
08,RO,Write Transfer Active,"This status indicates a write transfer is active. If this bit is 0, it means no valid write data exists in the Host Controller. This bit is set in either of the following cases: (1) After the end bit of the Command register (00Fh) is written and the Dat Transfer Direction in the Transfer Mode register is 0 (write). (2) When writing 1 to Continue Request in the Block Gap Control register to restart a write transfer. This bit is cleared in either of the following cases: (1) After getting the CRC status of the last data block as specified by the transfer count (Single or Multiple). (2) After getting the CRC status of any block where data transmission is about to be stopped by a Stop At Block Gap Request. (3) When writing 0 to Continue Request in the Block Gap Control register to halt the write transfer. The Host Driver can detect the completion of a write transaction by checking this bit. Prior to issuing the next write command, the Host Driver shall wait for this bit to be 0. At the completion of a write transaction (this bit changes from 1 to 0), data may still be in the buffer of the card. The Host Driver shall wait for the Programming State to be completed before issuing the next command. In order to know the status of the card, it is recommended that the Host Driver checks the Transfer Complete in the Normal Interrupt Status register. Clearing Transfer Complete is done by writing 1 to this bit."
07,RO,Read Transfer Active,"This bit is used for detecting completion of a read transfer. This bit is set for either of the following conditions: (1) After the end bit of the read command. (2) When writing a 1 to Continue Request in the Block Gap Control register to restart a read transfer. This bit is cleared for either of the following conditions: (1) When the last data block as specified by block length is transferred to the system. (2) When all valid data blocks have been transferred to the system and no current block transfers are being sent as a result of the Stop At Block Gap Request set to 1. The Host Driver can detect the completion of a read transfer by checking this bit. Prior to issuing the next read command, the Host Driver shall wait for this bit to be 0. At the completion of a read transaction (this bit changes from 1 to 0), data may still be in the buffer of the card. The Host Driver shall wait for the Programming State to be completed before issuing the next command. In order to know the status of the card, it is recommended that the Host Driver checks the Transfer Complete in the Normal Interrupt Status register. Clearing Transfer Complete is done by writing 1 to this bit."
06,RO,Buffer Write Enable,"This status is used for non-DMA write transfers. This read only flag indicates if space is available for write data. If this bit is 1, data can be written to the buffer. A change of this bit from 1 to 0 occurs when all the block data is written to the buffer. A change of this bit from 0 to 1 occurs when top of block data can be written to the buffer and generates the Buffer Write Ready Interrupt. Refer to 'Buffer Write Ready' in the Normal Interrupt Status register for additional information."
05,RO,Buffer Read Enable,"This status is used for non-DMA read transfers. This read only flag indicates that valid data exists in the host side buffer status. If this bit is 1, readable data exists in the buffer. A change of this bit from 1 to 0 occurs when all the block data is read from the buffer. A change of this bit from 0 to 1 occurs when all the block data is ready in the buffer and generates the Buffer Read Ready Interrupt. Refer to 'Buffer Read Ready' in the Normal Interrupt Status register for additional information."
04,RO,Card Inserted,"This bit indicates whether a card has been inserted. The Host Controller debounces this signal so that the Host Driver need not wait for it to stabilize. Changing from 0 to 1: Card state is stable and card is inserted. Changing from 1 to 0: Card state is stable and no card is inserted. If no card is inserted, the Host Controller shall maintain this bit to 0 regardless of the Card Detect Pin Level. If a card is inserted, this bit is immediately set to 1. The Software Reset For All in the Software Reset register shall not affect this bit. If a card is removed while executing a transaction, this bit shall be changed to 0. However, it is possible that the Host Driver may not always detect the removal of a card during a transaction because this bit is not changed until the card state is stable. When this bit is 0, the Host Driver should clear the interrupt status and stop the current transaction."
