Field,ACNE,Response Field Explanation
06-05,RsvdZ,Reserved
,,"Response Field Explanation for Auto CMD12 Error
If the response to Auto CMD12 has a CRC error, the response back to an Auto CMD12 Error (Offset 03Ch) is Not a CRC error.
This bit is set to 0 in Auto CMD Error is generated by Auto CMD23."
,RsvdZ,Reserved
,,"Auto CMD Index Error
If the response to Auto CMD12 and index error occurs in response to a command other than Auto CMD12, this bit is set to 1."
03,IDXE,Reserved
,,"End Bit Error
If the end bit of command response is 0, this error bit is set to 1.
This bit is not set to 1 in Auto CMD Error is generated by Auto CMD23."
02,EBE,End Bit Error Generated
,,"CRC Error
If a CRC error occurs in the response to Auto CMD12, this bit is set to 1.
This bit is not set to 1 in Auto CMD Error is generated by Auto CMD23."
01,CRC,CRC Error Generated
,,"Auto CMD Timeout Error
If no response is returned within 64 SDCLK cycles from the end bit of command, this bit is set to 1.
If this bit is set to 1, the other error status bits (CRC, EBE and IDXE) are meaningless."
00,TOE,No error
