Supported commands,class description,0 basic,1 reser ved,2 block read,3 reser ved,4 block write,5 erase,6 write pro-tec-tion,7 lock card,8 appli-cat-ion spe-cific,9 I/O mode,10 switch,11 reser ved
CMD0,Mandatory,+,,,,,,,,,,,
CMD2,Mandatory,+,,,,,,,,,,,
CMD3,Mandatory,+,,,,,,,,,,,
CMD4,Mandatory,+,,,,,,,,,,,
CMD5,Optional,,,,,,,,,+,,,
CMD6,Mandatory,,,,,,,,,,,+,
CMD7,Mandatory,+,,,,,,,,,,,
CMD8,Mandatory,+,,,,,,,,,,,
CMD9,Mandatory,+,,,,,,,,,,,
CMD10,Mandatory,+,,,,,,,,,,,
CMD11,Optional,+,,,,,,,,,,,
CMD12,Mandatory,+,,,,,,,,,,,
CMD13,Mandatory,+,,,,,,,,,,,
CMD15,Mandatory,+,,,,,,,,,,,
CMD16,Mandatory,,+,,+,,,+,,,,
CMD17,Mandatory,,+,,,,,,,,,,
CMD18,Mandatory,,+,,,,,,,,,,
CMD19,Optional,,+,,,,,,,,,,
CMD20,Optional,,+,,+,,,,,,,
CMD23,Optional,,+,,+,,,,,,,
CMD24,Mandatory,,,,+,,,,,,,
CMD25,Mandatory,,,,+,,,,,,,
CMD27,Mandatory,,,,+,,,,,,,
CMD28,Optional,,,,,,,+,,,,
CMD29,Optional,,,,,,,+,,,,
CMD30,Optional,,,,,,,+,,,,
CMD32,Mandatory,,,,,,+,,,,,,
CMD33,Mandatory,,,,,,+,,,,,,
CMD34-37,Optional,,,,,,,,,,,+,
CMD38,Mandatory,,,,,,+,,,,,,
CMD40,Optional,,,,,,,,,+,,,
CMD42,,(Note 4),,,,,,,,+,,,
CMD50,Optional,,,,,,,,,,,+,
CMD52,Optional,,,,,,,,,,+,,
CMD53,Optional,,,,,,,,,,+,,
CMD55,Mandatory,,,,,,,,,+,,,
