Field,Description
TPLFE_FUNCTION_INFO,"Bit significant information about the Function The bits are defined in Table 16-10"
TPLFE_STD_IO_REV,"This 8-bit value contains the version level of the Application Specification for Standard SDIO Functions that this function supports. The format is x.y where x is the major version (4-bits) and y is the minor version level. For example if the version is 2.4 the value would be 24h. If this function does not support an SDIO standard function, the value shall be 00h."
TPLFE_CARD_PSN,"The Product Serial Number is a 32 bit unsigned binary integer. Support of a serial number is optional. If there is no serial number, this field shall be 00000000h. While a unique serial number is not required for all devices, it is strongly recommended that SDIO card vendors place a unique serial number in this field to assist the operating systems is differentiating multiple cards of the same type. Also note that some Application Specifications for Standard SDIO Functions require a unique serial number in this field. The individual Application Specification will indicate if support of this field is mandatory."
TPLFE_CSA_SIZE,Size of the CSA space available for this function in bytes
TPLFE_CSA_PROPERTY,"This byte contains flags identifying properties of this function's CSA. The bits are defined in Table 16-11."
TPLFE_MAX_BLK_SIZE,"This is both the maximum block size and byte count that this function can support. A value of zero is not valid and shall not be used."
TPLFE_OCR,"This is the OCR value for this function. The format is identical to the 32-bit OCR format used by SD memory devices. For more details, refer to Section 5.1 of the Physical Layer Specification."
TPLFE_OP_MIN_PWR,"This is the minimum current at 2.7V operating voltage, in mA required by this function when operating. This value is valid for all voltages supported by this function. If the required current exceeds 200mA, this value shall be zero."
TPLFE_OP_AVG_PWR,"This is the average current at 3.3V operating voltage, in mA, required by this function when operating. This value is valid for all voltages supported by this function. If the required current exceeds 200mA, this value shall be zero"
TPLFE_OP_MAX_PWR,"This is the maximum (peak) current at 3.6V operating voltage, in mA, required by this function when operating. This value is valid for all voltages supported by this function. If the required current exceeds 200mA, this value shall be zero"
