Addr,Field,Type,Description
00h,CCCRx,R/O,CCCR Format Version number. These 4 bits contain the version of the CCCR and FBR format that this card supports. Any change to the CCCR and/or the FBR structure shall cause a new version code to be assigned. The codes for the CCCR/FBR formats are as follows: Value CCCR/FBR Format Version 00h CCCR/FBR defined in SDIO Version 1.00 01h CCCR/FBR defined in SDIO Version 1.10 02h CCCR/FBR defined in SDIO Version 2.00 03h CCCR/FBR defined in SDIO Version 3.00 04h-0Fh Reserved for Future Use Addr: Field Type Description
00h,SDIOx,R/O,SDIO Specification Revision Number These 4 bits contain the version of the SDIO Specification that this card supports. The codes for the SDIO Specifications are as follows: Value SDIO Specification 00h SDIO Specification Version 1.00 01h SDIO Specification Version 1.10 02h SDIO Specification Version 1.20 (unreleased) 03h SDIO Specification Version 2.00 04h SDIO Specification Version 3.00 05h-0Fh Reserved for Future Use
01h,SDx,R/O,SD Format Version Number These 4 bits contain the codes for the version of the Physical Layer Specification that this card supports. Value Physical Layer Specification 00h Physical Layer Specification Version 1.01 (March 2000) 01h Physical Layer Specification Version 1.10 (October 2004) 02h Physical Layer Specification Version 2.00 (May 2006) 03h Physical Layer Specification Version 3.0x 04h-0Fh Reserved for Future Use
02h,IOEx,R/W,"Enable Function If this bit is reset to 0, the function is disabled. If this bit is set to 1, the function is enabled to start its initialization. The completion of initialization is indicated in IORx. On power up or after a reset, the card shall reset this bit to 0. The host can also use IOEx as a per function reset for error recovery. The host sequence for a per function reset is to reset IOEx to 0, wait until IORx becomes 0 and then set IOEx to 1 again. If the error is not recovered by this sequence, SDIO reset should be used noting that the operation of all functions will be aborted. Refer to Chapter 11 for relation to Master Power Control and Power Select."
03h,IORx,R/O,"I/O Function Ready If this bit is reset to 0, the function is not ready to operate. This may be caused by the function being disabled or not ready due to internal causes such as a built-in self-test in progress. If this bit is set to 1, the function is ready to operate. The functions shall set this bit to 1 within the timeout value defined in the TPLFE_ENABLE_TIMEOUT_VAL tuple. On power up or after a reset, this bit shall be set to 0. For any function that is not implemented on an SDIO card, this bit shall always be 0."
04h,IENx,R/W,"Interrupt Enable for Function x If this bit is cleared to 0, any interrupt from this function shall not be sent to the host. If this bit is set to 1, then this function's interrupt shall be sent to the host if the master Interrupt Enable (bit 0) is also set to 1."
04h,IENM,R/W,"Interrupt Enable Master If this bit is cleared to 0, no interrupts from this card shall be sent to the host. If this bit is set to 1, then any function's interrupt shall be sent to the host."
05h,INTx,R/O,"Interrupt Pending for Function x If this bit is cleared to 0, this indicates that no interrupts are pending from this function. If this bit is set to 1, then this function has interrupt pending. Note that if the IENx or IENM bits are not set, the host cannot receive this pending interrupt. Addr: Field Type Description"
06h,ASx,W/O,"Abort Select In order to abort an I/O read or write and free the SD bus, the function that is currently transferring data must be addressed. These 3 bits define which function's transfer to stop. For example, the abort the transfer to function number 3, the value of 03h would be written to these bits using CMD52 only. If the abort is addressed to a suspended function, it does not affect current data transaction. Note that this is an abort, not a reset. The addressed function shall return to the CMD state and data transfer pending to that function shall be halted. This abort procedure does not work for SPI write operations. To abort an SPI write data transfer use the STOP_TRAN token as defined in Section 7.3.3 of the Physical Layer Specification. This form of abort applies only to the functions of an SDIO card. For the memory of a combo card, the abort methods defined in the Physical Layer Specification shall be used to abort transfers to/from memory"
06h,RES,W/O,"I/O CARD RESET Setting the RES to 1 shall cause all I/O functions in an SDIO or Combo card to perform a soft reset. Setting the RES to 1 does not affect the current card protocol selection (SD vs. SPI mode) and CD Disable. Setting of the RES bit shall only be performed using CMD52. When RES=1, the values of AS2-0 are don't-cares. The RES bit is auto cleared, so there is no need to rewrite a value of 0. This bit is write-only, any read returns an undetermined value. Memory in a combo card is not affected."
07h,Bus Width 1:0,R/W,Bus Width This field selects the bus width of the DAT line for a data transfer. All Full-Speed SDIO cards shall support both 1 and 4-bit bus widths. A Low-Speed SDIO card's support of 4-bit bus is optional. 1-bit bus width is the default. On reset or power-on these bits are cleared to 00. 8-bit bus mode can be supported only for an embedded device. 8-bit mode can be set if S8B is set to 0. 00b: 1-bit 01b: Reserved 10b: 4-bit bus 11b: 8-bit bus (only for embedded SDIO)
07h,S8B,R/O,Support 8-bit Bus Mode This support bit is valid for embedded SDIO. SDIO card shall set this bit to 0. 0: 8-bit bus mode is not supported. 1: 8-bit bus mode is supported. (The details of 8-bit mode are not defined in this document but it will be defined in a future specification.)
07h,ECSI,R/W,"Enable Continuous SPI Interrupt If the SCSI bit is set, then this R/W bit is used to allow the SDIO card to assert the interrupt line in the SPI mode at any time, irrespective of the state of the CS line. This bit is cleared to zero on reset or power-up. If the SCSI bit is clear, this bit shall be read only and set to zero. This bit controls the assertion of interrupts in the SPI mode for all functions in the SDIO card."
07h,SCSI,R/O,"Support Continuous SPI interrupt This read-only bit is set to indicate that this SDIO card supports the assertion of interrupts in the SPI mode at any time, irrespective of the status of the card select (CS) line. If this bit is zero, then this SDIO card can only assert the interrupt line in the SPI mode when the CS line is asserted. This bit signals the capability of all functions in the SDIO card. Addr: Field Type Description"
07h,CD Disable,R/W,Card Detect Disable Connect[0]/Disconnect[1] the 10K-90K ohm pull-up resistor on CD/DAT[3] (pin 1) of the card. The pull-up may be used for card detection. This bit is cleared to 0 on power-on (connected). Its state is not affected by a reset command. This bit shall be set to 1 before issuing CMD53.
08h,SDC,R/O,"Support Direct Command (CMD52) Support bit of Direct Commands. This bit applies only to the SD modes, it does not apply to SPI mode. This flag bit reports the SDIO card's ability to execute CMD52 while data transfer is in progress. If this bit is set, all I/O functions shall accept and execute the CMD52 while data transfer is underway on the DAT[x] lines. Also, any memory in a combo card shall allow the CMD52 to execute while it is transferring data. Since the CMD52 does not use the DAT[x] lines, it is possible to execute while data transfer to a different address on the card is underway. CMD52 is described in 5.1. In SD or SPI mode, if an error occurs during data transfer the SDIO card shall accept a CMD52 to allow I/O abort and reset regardless of this bit value. If the card supports suspend/resume then it shall also support this bit."
08h,SMB,R/O,"Support Multiple Block Transfer Support bit of Multi-Block transfer. This flag bit reports the SDIO card's ability to execute the IO_RW_EXTENDED command (CMD53) in the block mode. If this bit is set, all I/O functions (0-7) shall accept and execute CMD53 with the optional block mode bit set. The IO_RW_EXTENDED command is described in 5.3"
08h,SRW,R/O,"Support Read Wait Support bit of Read Wait control. This bit applies only to the SD modes, it does not apply to SPI mode. This flag bit reports the SDIO card's ability to support the Read Wait Control (RWC) operation. If set, all functions on the card are able to accept the wait signal on DAT[2]. RWC operation is described in Section 6.5. Any card that supports Suspend/Resume shall also support Read Wait"
08h,SBS,R/O,"Support Bus Control Support bit of Suspend/Resume. This bit applies only to the SD modes, it does not apply to SPI mode. This flag bit reports the SDIO card's ability to Suspend and Resume operations at the request of the host. If this bit is set, all functions except 0 shall accept a request to suspend operations and resume under host control. Suspend/Resume operation is described in Section 6.4. If this bit is 0, registers (0Ch-0Fh) shall not be supported."
