Offset,15-08 bit,07-00 bit,Offset,15-08 bit,07-00 bit
002h,SDMA System Address (High),Argument 2 (High),000h,SDMA System Address (Low),Argument 2 (Low)
006h,Block Count,,004h,Block Size,
00Ah,Argument 1 (High),,008h,Argument 1 (Low),
00Eh,Command,,00Ch,Transfer Mode,
012h,Response1,,010h,Response0,
016h,Response3,,014h,Response2,
01Ah,Response5,,018h,Response4,
01Eh,Response7,,01Ch,Response6,
022h,Buffer Data Port1,,020h,Buffer Data Port0,
026h,Present State,,024h,Present State,
02Ah,Wakeup Control,Block Gap Control,028h,Power Control,Host Control 1
02Eh,Software Reset,Timeout Control,02Ch,Clock Control,
032h,Error Interrupt Status,,030h,Normal Interrupt Status,
036h,Error Interrupt Status Enable,,034h,Normal Interrupt Status Enable,
03Ah,Error Interrupt Signal Enable,,038h,Normal Interrupt Signal Enable,
03Eh,Host Control 2,,03Ch,Auto CMD Error Status,
042h,Capabilities,,040h,Capabilities,
046h,Capabilities,,044h,Capabilities,
04Ah,Maximum Current Capabilities,,048h,Maximum Current Capabilities,
04Eh,Maximum Current Capabilities (Reserved),,04Ch,Maximum Current Capabilities (Reserved),
052h,Force Event for Error Interrupt Status,,050h,Force Event for Auto CMD Error Status,
056h,---,,054h,ADMA Error Status,
05Ah,ADMA System Address [31:16],,058h,ADMA System Address [15:00],
05Eh,ADMA System Address [63:48],,05Ch,ADMA System Address [47:32],
062h,Preset Value,,060h,Preset Value,
066h,Preset Value,,064h,Preset Value,
06Ah,Preset Value,,068h,Preset Value,
06Eh,Preset Value,,06Ch,Preset Value,
---,---,,---,---,
0E2h,Shared Bus Control (High),,0E0h,Shared Bus Control (Low),
---,---,,---,---,
0F2h,---,,0F0h,---,
---,---,,---,---,
0FEh,Host Controller Version,,0FCh,Slot Interrupt Status,
