Location,Attrib,Register Field Explanation
15-14,Rsvd,"Reserved"

13-08,RW,"Command Index
These bits shall be set to the command number (CMD0-63, ACMD0-63) that is
specified in bits 45-40 of the Command-Format in the Physical Layer
Specification and SDIO Card Specification."

07-06,RW,"Command Type
There are three types of special commands: Suspend, Resume and Abort.
These bits shall be set to 00b for all other commands.

(1) Suspend Command
If the Suspend command succeeds, the Host Controller shall assume the
SD Bus has been released and that it is possible to issue the next
command, which uses the DAT line. The Host Controller shall de-assert
Read Wait for read transactions and stop checking busy for write
transactions. The interrupt cycle shall start, in 4-bit mode. If the Suspend
command fails, the Host Controller shall maintain its current state, and the
Host Driver shall restart the transfer by setting Continue Request in the
Block Gap Control register. (Refer to 3.12.1 Suspend Sequence)

(2) Resume Command
The Host Driver re-starts the data transfer by restoring the registers in the
range of 000-00Dh. (Refer to Figure 1-4 in section 1.6 for the register
map.) The Host Controller shall check for busy before starting write
transfers.

(3) Abort Command
If this command is set when executing a read transfer, the Host Controller
shall stop reads to the buffer. If this command is set when executing a
write transfer, the Host Controller shall stop driving the DAT line. After
issuing the Abort command, the Host Driver should issue a software reset.
(Refer to 3.8 Abort Transaction)

11b  Abort   CMD12, CMD52 for writing ""I/O Abort"" in CCCR
10b  Resume  CMD52 for writing ""Function Select"" in CCCR
01b  Suspend CMD52 for writing ""Bus Suspend"" in CCCR
00b  Normal  Other commands"
05,RW,"Data Present Select - This bit is set to 1 to indicate that data is present and shall be transferred using the DAT line. It is set to 0 for the following: (1) Commands using only CMD line (ex. CMD52), (2) Commands with no data transfer but using busy signal on DAT[0] line (R1b or R5b ex. CMD38), (3) Resume command. 1=Data Present, 0=No Data Present"
04,RW,"Command Index Check Enable - If this bit is set to 1, the Host Controller shall check the Index field in the response to see if it has the same value as the command index. If it is not, it is reported as a Command Index Error. If this bit is set to 0, the Index field is not checked. 1=Enable, 0=Disable"
03,RW,"Command CRC Check Enable - If this bit is set to 1, the Host Controller shall check the CRC field in the response. If an error is detected, it is reported as a Command CRC Error. If this bit is set to 0, the CRC field is not checked. The position of CRC field is determined according to the length of the response. (Refer to definition in D01-00 and Table 2-10 below.) 1=Enable, 0=Disable"
02,Rsvd,"Reserved"
01-00,RW,"Response Type Select - 00=No Response, 01=Response Length 136, 10=Response Length 48, 11=Response Length 48 check Busy after response"
